nombre,marca,modelo,sku,categoria,condicion,estado,stockTienda,stockDeposito,stockMinimo,costoUSD,precioVentaBaseUSD
SSD m.2 500 GB Kingston,,,SSD-M-2-500-GB-KINGSTON,SSD,nuevo,activo,0,0,1,0,0
SSD m.2 512 GB T-FORCE,,,SSD-M-2-512-GB-T-FORCE,SSD,nuevo,activo,0,1,1,0,0
SSD m.2 512 GB Patriot,,,SSD-M-2-512-GB-PATRIOT,SSD,nuevo,activo,1,3,1,0,0
SSD m.2 Sata 256 GB Timetec,,,SSD-M-2-SATA-256-GB-TIMETEC,SSD,nuevo,activo,1,4,1,0,0
Wifi 2.4 Ghz 300 mbs sencilla,,,WIFI-2-4-GHZ-300-MBS-SENCILLA,ACCESORIOS,nuevo,activo,1,12,1,0,0
Wifi Doble Banda 2.4 Ghz + 5Ghz,,,WIFI-DOBLE-BANDA-2-4-GHZ-5GHZ,ACCESORIOS,nuevo,activo,0,0,1,0,0
wifi PCIe Ac1200 + Bluethooth,,,WIFI-PCIE-AC1200-BLUETHOOTH,ACCESORIOS,nuevo,activo,0,0,1,0,0
wifi PCIe Ax1800 + Bluethooth,,,WIFI-PCIE-AX1800-BLUETHOOTH,ACCESORIOS,nuevo,activo,0,0,1,0,0
Bluethooth F9-5,,,BLUETHOOTH-F9-5,AUDIFONOS,nuevo,activo,0,0,1,0,0
Bluethooth JBL OWS,,,BLUETHOOTH-JBL-OWS,AUDIFONOS,nuevo,activo,0,0,1,0,0
Bluethooth M-10,,,BLUETHOOTH-M-10,AUDIFONOS,nuevo,activo,0,1,1,0,0
"Bluetooth JBL Bluetooth, caja naranja,Tiras",,,BLUETOOTH-JBL-BLUETOOTH-CAJA-NARAN,AUDIFONOS,nuevo,activo,2,4,1,0,0
cable QKZ AK6,,,CABLE-QKZ-AK6,AUDIFONOS,nuevo,activo,1,9,1,0,0
cable QKZ ENZO PRO,,,CABLE-QKZ-ENZO-PRO,AUDIFONOS,nuevo,activo,0,4,1,0,0
cable QKZ AK6 pro,,,CABLE-QKZ-AK6-PRO,AUDIFONOS,nuevo,activo,1,3,1,0,0
"cable Samsung, caja negra",,,CABLE-SAMSUNG-CAJA-NEGRA,AUDIFONOS,nuevo,activo,1,8,1,0,0
"cable tipo C, caja blanca",,,CABLE-TIPO-C-CAJA-BLANCA,AUDIFONOS,nuevo,activo,0,2,1,0,0
Corsair HS55,,,CORSAIR-HS55,AUDIFONOS,nuevo,activo,1,1,1,0,0
Corsair Virtuoso RGB,,,CORSAIR-VIRTUOSO-RGB,AUDIFONOS,nuevo,activo,1,1,1,0,0
Corsair void Wirelles V2,,,CORSAIR-VOID-WIRELLES-V2,AUDIFONOS,nuevo,activo,1,1,1,0,0
Gamemax HG200,,,GAMEMAX-HG200,AUDIFONOS,nuevo,activo,1,2,1,0,0
Gamemax HG300,,,GAMEMAX-HG300,AUDIFONOS,nuevo,activo,1,3,1,0,0
"Genius, prueba tienda",,,GENIUS-PRUEBA-TIENDA,AUDIFONOS,nuevo,activo,0,0,1,0,0
HiperX Cloud,,,HIPERX-CLOUD,AUDIFONOS,nuevo,activo,1,2,1,0,0
HiperX Cloud II,,,HIPERX-CLOUD-II,AUDIFONOS,nuevo,activo,1,0,1,0,0
HiperX Cloud III,,,HIPERX-CLOUD-III,AUDIFONOS,nuevo,activo,1,2,1,0,0
JBL 200BT Casco Azul y Negro,,,JBL-200BT-CASCO-AZUL-Y-NEGRO,AUDIFONOS,nuevo,activo,0,0,1,0,0
Maono AUMH601,,,MAONO-AUMH601,AUDIFONOS,nuevo,activo,1,1,1,0,0
Onikuma k19,,,ONIKUMA-K19,AUDIFONOS,nuevo,activo,0,0,1,0,0
Onikuma x31,,,ONIKUMA-X31,AUDIFONOS,nuevo,activo,0,5,1,0,0
Onikuma T1,,,ONIKUMA-T1,AUDIFONOS,nuevo,activo,0,3,1,0,0
Onikuma gt805,,,ONIKUMA-GT805,AUDIFONOS,nuevo,activo,1,1,1,0,0
Razer Blackshark Hyperspedd wirelles,,,RAZER-BLACKSHARK-HYPERSPEDD-WIRELL,AUDIFONOS,nuevo,activo,1,1,1,0,0
Razer Blackshark v2 X,,,RAZER-BLACKSHARK-V2-X,AUDIFONOS,nuevo,activo,0,0,1,0,0
Razer Kraken v3 X (2 + 1 exi),,,RAZER-KRAKEN-V3-X-2-1-EXI,AUDIFONOS,nuevo,activo,1,2,1,0,0
Redragon Ares,,,REDRAGON-ARES,AUDIFONOS,nuevo,activo,1,1,1,0,0
Redragon Cronus,,,REDRAGON-CRONUS,AUDIFONOS,nuevo,activo,1,6,1,0,0
Redragon Cybill,,,REDRAGON-CYBILL,AUDIFONOS,nuevo,activo,1,2,1,0,0
Redragon Hylas,,,REDRAGON-HYLAS,AUDIFONOS,nuevo,activo,1,2,1,0,0
Redragon IrePro,,,REDRAGON-IREPRO,AUDIFONOS,nuevo,activo,1,1,1,0,0
Redragon Lamia II,,,REDRAGON-LAMIA-II,AUDIFONOS,nuevo,activo,1,3,1,0,0
Redragon Vibecore H610 **,,,REDRAGON-VIBECORE-H610,AUDIFONOS,nuevo,activo,1,1,1,0,0
Redragon Zeus X,,,REDRAGON-ZEUS-X,AUDIFONOS,nuevo,activo,0,0,1,0,0
Redragon ZeusPro,,,REDRAGON-ZEUSPRO,AUDIFONOS,nuevo,activo,1,1,1,0,0
Mchose v9,,,MCHOSE-V9,AUDIFONOS,nuevo,activo,0,2,1,0,0
Mchose x9,,,MCHOSE-X9,AUDIFONOS,nuevo,activo,0,2,1,0,0
T-wolf XY-212,,,T-WOLF-XY-212,AUDIFONOS,nuevo,activo,0,0,1,0,0
"de Refrigeracion laptop 15.6""""",,,DE-REFRIGERACION-LAPTOP-15-6,COOLING,nuevo,activo,0,0,1,0,0
"de Refrigeraicon 14""""",,,DE-REFRIGERAICON-14,ACCESORIOS,nuevo,activo,0,0,1,0,0
para grafica palito,,,PARA-GRAFICA-PALITO,ACCESORIOS,nuevo,activo,0,0,1,0,0
para monitor Doble,,,PARA-MONITOR-DOBLE,ACCESORIOS,nuevo,activo,0,0,1,0,0
para monitor Fija caja marron cuadrada,,,PARA-MONITOR-FIJA-CAJA-MARRON-CUAD,ACCESORIOS,nuevo,activo,0,0,1,0,0
Economico,,,ECONOMICO,ACCESORIOS,nuevo,activo,0,0,1,0,0
HP,,,HP,ACCESORIOS,nuevo,activo,0,0,1,0,0
Jemip,,,JEMIP,ACCESORIOS,nuevo,activo,0,0,1,0,0
Redragon,,,REDRAGON,ACCESORIOS,nuevo,activo,0,0,1,0,0
USB-VGA,,,USB-VGA,CABLES,nuevo,activo,0,4,1,0,0
6 pines a sata,,,6-PINES-A-SATA,CABLES,nuevo,activo,0,0,1,0,0
8 pines a 2 molex,,,8-PINES-A-2-MOLEX,CABLES,nuevo,activo,0,0,1,0,0
Auxiliar,,,AUXILIAR,CABLES,nuevo,activo,0,0,1,0,0
de corriente,,,DE-CORRIENTE,CABLES,nuevo,activo,0,0,1,0,0
OTG-C-TIPO C,,,OTG-C-TIPO-C,CABLES,nuevo,activo,0,7,1,0,0
DP- DP,,,DP-DP,CABLES,nuevo,activo,0,17,1,0,0
DP- HDMI,,,DP-HDMI-2,CABLES,nuevo,activo,0,0,1,0,0
extension USB,,,EXTENSION-USB,CABLES,nuevo,activo,2,4,1,0,0
HDMI 4K 2K,,,HDMI-4K-2K,CABLES,nuevo,activo,0,17,1,0,0
HDMI - DVI,,,HDMI-DVI,CABLES,nuevo,activo,0,0,1,0,0
HDMI Mallado,,,HDMI-MALLADO,CABLES,nuevo,activo,1,12,1,0,0
HDMI Sencillo,,,HDMI-SENCILLO,CABLES,nuevo,activo,3,11,1,0,0
3 en 1 HDTV,,,3-EN-1-HDTV,CABLES,nuevo,activo,0,4,1,0,0
Lan 1 metros Red,,,LAN-1-METROS-RED,CABLES,nuevo,activo,4,25,1,0,0
Lan 10 metros Red,,,LAN-10-METROS-RED,CABLES,nuevo,activo,2,8,1,0,0
Lan 5 metros Red,,,LAN-5-METROS-RED,CABLES,nuevo,activo,2,14,1,0,0
Ligthing - USB 3 metros,,,LIGTHING-USB-3-METROS,CABLES,nuevo,activo,0,0,1,0,0
Micro - USB 3 metros Cable normal,,,MICRO-USB-3-METROS-CABLE-NORMAL,CABLES,nuevo,activo,0,0,1,0,0
"Molex a Sata, 2 molex a 1 sata",,,MOLEX-A-SATA-2-MOLEX-A-1-SATA,CABLES,nuevo,activo,0,0,1,0,0
OTG - micro USB,,,OTG-MICRO-USB,CABLES,nuevo,activo,0,0,1,0,0
OTG - USB,,,OTG-USB,CABLES,nuevo,activo,2,7,1,0,0
para extension de fuente ASIANORSE,,,PARA-EXTENSION-DE-FUENTE-ASIANORSE,CABLES,nuevo,activo,0,0,1,0,0
Sata - usb,,,SATA-USB,CABLES,nuevo,activo,3,6,1,0,0
"sata a doble sata, corriente",,,SATA-A-DOBLE-SATA-CORRIENTE,CABLES,nuevo,activo,0,0,1,0,0
sata a molex,,,SATA-A-MOLEX,CABLES,nuevo,activo,0,0,1,0,0
Sata interno Pc,,,SATA-INTERNO-PC,CABLES,nuevo,activo,0,0,1,0,0
HDMI 4K 10 mtr,,,HDMI-4K-10-MTR,CABLES,nuevo,activo,0,4,1,0,0
tipo C - Tipo C 1 metro,,,TIPO-C-TIPO-C-1-METRO,CABLES,nuevo,activo,0,0,1,0,0
USB C - Xiomi,,,USB-C-XIOMI,CABLES,nuevo,activo,1,2,1,0,0
VGA,,,VGA,CABLES,nuevo,activo,1,9,1,0,0
Redragon Cyberleans 4K,,,REDRAGON-CYBERLEANS-4K,ACCESORIOS,nuevo,activo,1,1,1,0,0
Redragon Fobos,,,REDRAGON-FOBOS,ACCESORIOS,nuevo,activo,1,0,1,0,0
Redragon Hitman,,,REDRAGON-HITMAN,ACCESORIOS,nuevo,activo,1,1,1,0,0
Tp-link Tapo,,,TP-LINK-TAPO,ACCESORIOS,nuevo,activo,0,0,1,0,0
Generico imexx,,,GENERICO-IMEXX,ACCESORIOS,nuevo,activo,0,0,1,0,0
Laptop ACER punta Fina en caja,,,LAPTOP-ACER-PUNTA-FINA-EN-CAJA,ACCESORIOS,nuevo,activo,1,7,1,0,0
Laptop ASUS punta Fina en caja,,,LAPTOP-ASUS-PUNTA-FINA-EN-CAJA,ACCESORIOS,nuevo,activo,1,10,1,0,0
Laptop ASUS punta tipo C en caja,,,LAPTOP-ASUS-PUNTA-TIPO-C-EN-CAJA,ACCESORIOS,nuevo,activo,2,1,1,0,0
Laptop Dell punta gorda en caja,,,LAPTOP-DELL-PUNTA-GORDA-EN-CAJA,ACCESORIOS,nuevo,activo,0,0,1,0,0
Laptop Dell punta gorda sin caja,,,LAPTOP-DELL-PUNTA-GORDA-SIN-CAJA,ACCESORIOS,nuevo,activo,0,0,1,0,0
Laptop Dell punta tipo C sin caja,,,LAPTOP-DELL-PUNTA-TIPO-C-SIN-CAJA,ACCESORIOS,nuevo,activo,0,0,1,0,0
"Laptop HP punta azul, refurbished",,,LAPTOP-HP-PUNTA-AZUL-REFURBISHED,ACCESORIOS,refurbished,activo,0,0,1,0,0
Laptop Lenovo punta cuadrada sin caja,,,LAPTOP-LENOVO-PUNTA-CUADRADA-SIN-C,ACCESORIOS,nuevo,activo,0,0,1,0,0
Laptop Lenovo punta redonda Fina,,,LAPTOP-LENOVO-PUNTA-REDONDA-FINA,ACCESORIOS,nuevo,activo,1,4,1,0,0
Xiaomi con cable 33W,,,XIAOMI-CON-CABLE-33W,ACCESORIOS,nuevo,activo,2,5,1,0,0
Aerocool Scape,,,AEROCOOL-SCAPE,CASE,nuevo,activo,0,0,1,0,0
AST con fuente,,,AST-CON-FUENTE,CASE,nuevo,activo,0,2,1,0,0
AST GQ31,,,AST-GQ31,CASE,nuevo,activo,0,0,1,0,0
AST pecera,,,AST-PECERA,CASE,nuevo,activo,1,1,1,0,0
AST sin fuente,,,AST-SIN-FUENTE,CASE,nuevo,activo,0,0,1,0,0
Azza Luminous 110 Negro,,,AZZA-LUMINOUS-110-NEGRO,CASE,nuevo,activo,0,1,1,0,0
Cooler Master Box MB511 Negro,,,COOLER-MASTER-BOX-MB511-NEGRO,COOLING,nuevo,activo,0,1,1,0,0
Cooler Master Kayfa,,,COOLER-MASTER-KAYFA,COOLING,nuevo,activo,0,0,1,0,0
Cooler Master TD300 Black,,,COOLER-MASTER-TD300-BLACK,COOLING,nuevo,activo,0,0,1,0,0
Cooler Master TD300 White mesh,,,COOLER-MASTER-TD300-WHITE-MESH,COOLING,nuevo,activo,0,1,1,0,0
Corsair 3000D,,,CORSAIR-3000D,CASE,nuevo,activo,0,1,1,0,0
Gamemax Aero,,,GAMEMAX-AERO,CASE,nuevo,activo,0,2,1,0,0
Gamemax Black Diamond,,,GAMEMAX-BLACK-DIAMOND,CASE,nuevo,activo,0,1,1,0,0
Gamemax Black Hole,,,GAMEMAX-BLACK-HOLE,CASE,nuevo,activo,0,1,1,0,0
jenip super nova blanco,,,JENIP-SUPER-NOVA-BLANCO,CASE,nuevo,activo,1,1,1,0,0
Jenip nebula black 1.5,,,JENIP-NEBULA-BLACK-1-5,CASE,nuevo,activo,0,2,1,0,0
jenip clarity black,,,JENIP-CLARITY-BLACK,CASE,nuevo,activo,0,2,1,0,0
Gamemax Infinity,,,GAMEMAX-INFINITY,CASE,nuevo,activo,0,1,1,0,0
Gamemax Nova N2,,,GAMEMAX-NOVA-N2,CASE,nuevo,activo,0,0,1,0,0
Gamemax Nova N6,,,GAMEMAX-NOVA-N6,CASE,nuevo,activo,0,0,1,0,0
Gamemax Nova N80,,,GAMEMAX-NOVA-N80,CASE,nuevo,activo,0,0,1,0,0
Gamemax silent Titan 2,,,GAMEMAX-SILENT-TITAN-2,CASE,nuevo,activo,0,1,1,0,0
Gamemax Vista AB,,,GAMEMAX-VISTA-AB,CASE,nuevo,activo,0,0,1,0,0
Gamemax Vista AW Blanco,,,GAMEMAX-VISTA-AW-BLANCO,CASE,nuevo,activo,0,2,1,0,0
